movie_title,year,place,star_cast,rating,vote,link
Into the Wild,2007,210,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.052896560655649,559564,/title/tt0758758/
Hachi: A Dog's Tale,2009,211,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.052889128708438,245198,/title/tt1028532/
Ben-Hur,1959,212,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.052805597055507,214452,/title/tt0052618/
Le salaire de la peur,1953,213,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.052093391414045,52788,/title/tt0046268/
Dead Poets Society,1989,214,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.05207008250268,409977,/title/tt0097165/
Platoon,1986,215,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.051472069433638,372717,/title/tt0091763/
Harry Potter and the Deathly Hallows: Part 2,2011,216,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.050909734213969,741644,/title/tt1201607/
Life of Brian,1979,217,"Terry Jones (dir.), Graham Chapman, John Cleese",8.050702445681951,358530,/title/tt0079470/
Logan,2017,218,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.04987930928188,625635,/title/tt3315342/
Rush,2013,219,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.049704361289502,422004,/title/tt1979320/
Du rififi chez les hommes,1955,220,"Jules Dassin (dir.), Jean Servais, Carl Möhner",8.047128576937917,26224,/title/tt0048021/
La passion de Jeanne d'Arc,1928,221,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.04499143112353,45659,/title/tt0019254/
Ah-ga-ssi,2016,222,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",8.044298388793,103795,/title/tt4016934/
Andrei Rublev,1966,223,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",8.043398601232218,44631,/title/tt0060107/
Les quatre cents coups,1959,224,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.043292151348487,101600,/title/tt0053198/
Hotel Rwanda,2004,225,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.042594974382816,328732,/title/tt0395169/
Spotlight,2015,226,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.041166858503058,405514,/title/tt1895587/
Amores perros,2000,227,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.040751075005872,218857,/title/tt0245712/
Rang De Basanti,2006,228,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",8.037188880005907,108702,/title/tt0405508/
Kaze no tani no Naushika,1984,229,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",8.036186144415845,144415,/title/tt0087544/
Rocky,1976,230,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.034783232462487,505279,/title/tt0075148/
La haine,1995,231,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.034764079582873,143930,/title/tt0113247/
Gangs of Wasseypur,2012,232,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",8.033326900677695,78002,/title/tt1954470/
"Monsters, Inc",2001,233,"Pete Docter (dir.), Billy Crystal, John Goodman",8.032137558021105,793440,/title/tt0198781/
Rebecca,1940,234,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.031709503304075,119022,/title/tt0032976/
Portrait de la jeune fille en feu,2019,235,"Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel",8.024251328495636,48139,/title/tt8613070/
Before Sunset,2004,236,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.019179804040533,228085,/title/tt0381681/
The Circus,1928,237,"Charles Chaplin (dir.), Charles Chaplin, Merna Kennedy",8.018954537661287,27088,/title/tt0018773/
It Happened One Night,1934,238,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.01819866911398,91157,/title/tt0025316/
Fa yeung nin wah,2000,239,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",8.017501993775667,118734,/title/tt0118694/
"Paris, Texas",1984,240,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",8.01638012503742,86042,/title/tt0087884/
Drishyam,2015,241,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran",8.015990623942018,65597,/title/tt4430212/
Contratiempo,2016,242,"Oriol Paulo (dir.), Mario Casas, Ana Wagener",8.012922632438622,126007,/title/tt4857264/
The Help,2011,243,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.012229507268094,418793,/title/tt1454029/
The Princess Bride,1987,244,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",8.011810491141715,384440,/title/tt0093779/
The Terminator,1984,245,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.009044523392754,782829,/title/tt0088247/
La battaglia di Algeri,1966,246,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.008529617920443,50975,/title/tt0058946/
Kumonosu-jô,1957,247,"Akira Kurosawa (dir.), Toshirô Mifune, Minoru Chiaki",8.007757701814722,44695,/title/tt0050613/
"Swades: We, the People",2004,248,"Ashutosh Gowariker (dir.), Shah Rukh Khan, Gayatri Joshi",8.007482960129366,81064,/title/tt0367110/
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,249,"Hideaki Anno (dir.), Megumi Ogata, Megumi Hayashibara",8.007435717382336,36160,/title/tt0169858/
Koe no katachi,2016,250,"Naoko Yamada (dir.), Miyu Irino, Saori Hayami",8.007370752629011,40078,/title/tt5323662/
