movie_title,year,place,star_cast,rating,vote,link
Hotaru no haka,1988,48,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.453195248859439,224443,/title/tt0095327/
Once Upon a Time in the West,1968,49,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.450671573558798,294370,/title/tt0064116/
Casablanca,1942,50,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.43870590368969,508887,/title/tt0034583/
Nuovo Cinema Paradiso,1988,51,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.431140400452591,222297,/title/tt0095765/
Rear Window,1954,52,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.428402995945332,431293,/title/tt0047396/
Alien,1979,53,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.421904007719819,767111,/title/tt0078748/
Apocalypse Now,1979,54,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.419806790670549,589772,/title/tt0078788/
Memento,2000,55,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.415161059632808,1095843,/title/tt0209144/
Raiders of the Lost Ark,1981,56,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.411913485117038,863790,/title/tt0082971/
The Great Dictator,1940,57,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.411328875965996,196842,/title/tt0032553/
Joker,2019,58,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.401334920256177,843685,/title/tt7286456/
The Lives of Others,2006,59,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.390486945595942,348778,/title/tt0405094/
Django Unchained,2012,60,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.390445493113305,1314667,/title/tt1853728/
Paths of Glory,1957,61,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.37503438048992,172099,/title/tt0050825/
The Shining,1980,62,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.369067281905794,866957,/title/tt0081505/
WALL·E,2008,63,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.368200892001532,972710,/title/tt0910970/
Avengers: Infinity War,2018,64,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.366268873991816,793155,/title/tt4154756/
Sunset Blvd,1950,65,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.360609103914854,195227,/title/tt0043014/
Mononoke-hime,1997,66,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.352653615439461,329757,/title/tt0119698/
Witness for the Prosecution,1957,67,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.35258489583518,104085,/title/tt0051201/
Spider-Man: Into the Spider-Verse,2018,68,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.352520811853667,333200,/title/tt4633694/
Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,69,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.351373040036506,440253,/title/tt0057012/
Oldeuboi,2003,70,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo",8.351212707355877,499786,/title/tt0364569/
The Dark Knight Rises,2012,71,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.334143427981925,1477072,/title/tt1345836/
Once Upon a Time in America,1984,72,"Sergio Leone (dir.), Robert De Niro, James Woods",8.331588128369996,301475,/title/tt0087843/
Avengers: Endgame,2019,73,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.325028709917381,749206,/title/tt4154796/
Aliens,1986,74,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.32431444902996,638303,/title/tt0090605/
